iter	Logloss
0	0.6323169187
1	0.5813992521
2	0.5393034667
3	0.5025531929
4	0.4723451072
5	0.4462914747
6	0.423405862
7	0.4034104528
8	0.386343525
9	0.3718833031
10	0.3592286807
11	0.3459063851
12	0.3345870773
13	0.3254302804
14	0.317668405
15	0.3067655519
16	0.3000026153
17	0.2942488061
18	0.2870680818
19	0.282554686
20	0.276102797
21	0.2711479358
22	0.2668757922
23	0.2622019529
24	0.2591550989
25	0.2554814522
26	0.2526117207
27	0.2490778391
28	0.2457711175
29	0.2436699909
30	0.241158599
31	0.2388141888
32	0.2360634013
33	0.2342647685
34	0.2324932255
35	0.2308144731
36	0.2291334354
37	0.227378143
38	0.22577282
39	0.2242884405
40	0.2228904561
41	0.2191765796
42	0.216340365
43	0.214415155
44	0.2128743109
45	0.2095786029
46	0.2085071391
47	0.2077017004
48	0.2069189872
49	0.20586963
50	0.2044569503
51	0.2038304433
52	0.2027440302
53	0.2021168249
54	0.2007547221
55	0.1989759742
56	0.1977066461
57	0.1964818009
58	0.1943183538
59	0.1928584931
60	0.1903862202
61	0.1898391255
62	0.1886981363
63	0.1866294
64	0.186076862
65	0.18488747
66	0.1830191372
67	0.1821760236
68	0.1811342205
69	0.1802584469
70	0.1791410719
71	0.1785165328
72	0.1778356083
73	0.1765619477
74	0.1755069727
75	0.1742395807
76	0.1730868319
77	0.1721320904
78	0.1713978276
79	0.1704534173
80	0.1697893941
81	0.1690146952
82	0.1685287626
83	0.167495799
84	0.1660090232
85	0.1650733571
86	0.1642456689
87	0.1634046343
88	0.1618217988
89	0.161183199
90	0.1602647675
91	0.1589232002
92	0.1585522283
93	0.1565259278
94	0.155129086
95	0.1536358354
96	0.1530348628
97	0.1522834449
98	0.1519412608
99	0.1511844788
